ST_NUM,ST_NAME,CITY,ZIPCODE,GIS_ID,TOTAL_SCORE,latitude,longitude,grid_code
17,BATESWELL RD,DORCHESTER,2124,1603318000,51,42.28593656892325,-71.05782322856393,157
25,BATESWELL RD,DORCHESTER,2124,1603320000,51,42.2861931541066,-71.05794605334341,139
28,SEDALIA RD,DORCHESTER,2124,1603323000,51,42.28649852340435,-71.05776491121458,139
20,SEDALIA RD,DORCHESTER,2124,1603325000,51,42.28625011710615,-71.05764448870346,139
8,CARRUTH ST,DORCHESTER,2124,1603329000,51,42.2860353664718,-71.0614907686126,156
291,ASHMONT ST,DORCHESTER,2124,1603332001,51,42.28644307980835,-71.06105029854692,138
311,ASHMONT ST,DORCHESTER,2124,1603338000,51,42.286650370054744,-71.05993716240008,138
319,ASHMONT ST,DORCHESTER,2124,1603339000,51,42.286699510769196,-71.05973039968265,138
327,ASHMONT ST,DORCHESTER,2124,1603340000,51,42.2867486550643,-71.0595329901464,138
331,ASHMONT ST,DORCHESTER,2124,1603341000,51,42.2868107209291,-71.05928950631528,139
64,ELMER RD,DORCHESTER,2124,1603358000,51,42.2865688079668,-71.05880653865913,139
12,BURGOYNE ST,DORCHESTER,2124,1603260000,51,42.2858750851847,-71.05656630825032,158
60,ELMER RD,DORCHESTER,2124,1603359000,51,42.2865198126625,-71.05899738828008,139
56,ELMER RD,DORCHESTER,2124,1603360000,51,42.2864655982258,-71.05921197507483,139
48,ELMER RD,DORCHESTER,2124,1603362000,51,42.28636830168115,-71.0595927464376,138
44,ELMER RD,DORCHESTER,2124,1603363000,51,42.286318979289504,-71.05978473117774,138
40,ELMER RD,DORCHESTER,2124,1603364000,51,42.2862027925172,-71.05997866661032,138
26,BARRINGTON RD,DORCHESTER,2124,1603371000,51,42.285634475389145,-71.06095843105041,156
22,BARRINGTON RD,DORCHESTER,2124,1603372000,51,42.28545485310315,-71.06087384717458,156
17,BEAUMONT ST,DORCHESTER,2124,1603378000,51,42.2844739054223,-71.06019332161506,156
707,ADAMS ST,DORCHESTER,2122,1603385000,51,42.2851941931684,-71.05532585392335,158
3,WESTMORELAND ST,DORCHESTER,2124,1603386000,51,42.2851813419233,-71.05551913579197,158
7,WESTMORELAND ST,DORCHESTER,2124,1603387000,51,42.28515798144025,-71.05570761258772,158
11,WESTMORELAND ST,DORCHESTER,2124,1603388000,51,42.2851340791712,-71.05589640184627,158
18,WILCOX RD,DORCHESTER,2124,1603305000,51,42.28569424348895,-71.05906286631534,157
22,WILCOX RD,DORCHESTER,2124,1603304000,51,42.2858224190352,-71.05912493136077,157
26,WILCOX RD,DORCHESTER,2124,1603303000,51,42.2859491576947,-71.05918629883043,157
30,WILCOX RD,DORCHESTER,2124,1603302000,51,42.28608825779885,-71.05925344108124,139
104,BEAUMONT ST,DORCHESTER,2124,1603261000,51,42.2857285306835,-71.05630354478168,158
100,BEAUMONT ST,DORCHESTER,2124,1603263000,51,42.28566048499155,-71.05656103406542,158
92,BEAUMONT ST,DORCHESTER,2124,1603265000,51,42.285618467546556,-71.05691686321137,158
3,SEDALIA RD,DORCHESTER,2124,1603266000,51,42.28582506128,-71.05691923382243,158
7,SEDALIA RD,DORCHESTER,2124,1603267000,51,42.285936338214555,-71.05697502806359,158
15,SEDALIA RD,DORCHESTER,2124,1603269000,51,42.286147310073844,-71.05709050900626,140
21,SEDALIA RD,DORCHESTER,2124,1603271000,51,42.28637785157845,-71.05721216607941,140
25,SEDALIA RD,DORCHESTER,2124,1603272000,51,42.28649444663445,-71.05727617751913,139
11,BARRINGTON RD,DORCHESTER,2124,1603275000,51,42.28518549007135,-71.06019559554682,156
24,FOSSDALE RD,DORCHESTER,2124,1603279000,51,42.28583856048665,-71.06007158542396,156
20,FOSSDALE RD,DORCHESTER,2124,1603281000,51,42.2856802192341,-71.05999681813,156
16,FOSSDALE RD,DORCHESTER,2124,1603282000,51,42.2855742479738,-71.05994625280184,156
