name,WKT,x,y,counts
133,"POLYGON ((-71.0839591 42.2906313,-71.0795069 42.2906313,-71.0795069 42.2860478,-71.0839591 42.2860478,-71.0839591 42.2906313))",7.0,11.0,66.0
134,"POLYGON ((-71.0795069 42.2906313,-71.0750547 42.2906313,-71.0750547 42.2860478,-71.0795069 42.2860478,-71.0795069 42.2906313))",8.0,11.0,54.0
135,"POLYGON ((-71.0750547 42.2906313,-71.0706025 42.2906313,-71.0706025 42.2860478,-71.0750547 42.2860478,-71.0750547 42.2906313))",9.0,11.0,39.0
136,"POLYGON ((-71.0706025 42.2906313,-71.0661503 42.2906313,-71.0661503 42.2860478,-71.0706025 42.2860478,-71.0706025 42.2906313))",10.0,11.0,49.0
137,"POLYGON ((-71.0661503 42.2906313,-71.0616981 42.2906313,-71.0616981 42.2860478,-71.0661503 42.2860478,-71.0661503 42.2906313))",11.0,11.0,64.0
138,"POLYGON ((-71.0616981 42.2906313,-71.059472 42.2906313,-71.059472 42.2860478,-71.0616981 42.2860478,-71.0616981 42.2906313))",12.0,11.0,60.0
139,"POLYGON ((-71.059472 42.2906313,-71.0572459 42.2906313,-71.0572459 42.2860478,-71.059472 42.2860478,-71.059472 42.2906313))",12.0,11.0,49.0
140,"POLYGON ((-71.0572459 42.2906313,-71.0550198 42.2906313,-71.0550198 42.2860478,-71.0572459 42.2860478,-71.0572459 42.2906313))",13.0,11.0,41.0
141,"POLYGON ((-71.0550198 42.2906313,-71.0527937 42.2906313,-71.0527937 42.2860478,-71.0550198 42.2860478,-71.0550198 42.2906313))",13.0,11.0,67.0
142,"POLYGON ((-71.0527937 42.2906313,-71.0505676 42.2906313,-71.0505676 42.2860478,-71.0527937 42.2860478,-71.0527937 42.2906313))",14.0,11.0,75.0
143,"POLYGON ((-71.0505676 42.2906313,-71.0483415 42.2906313,-71.0483415 42.2860478,-71.0505676 42.2860478,-71.0505676 42.2906313))",14.0,11.0,46.0
144,"POLYGON ((-71.0483415 42.2906313,-71.0394371 42.2906313,-71.0394371 42.2860478,-71.0483415 42.2860478,-71.0483415 42.2906313))",15.0,11.0,61.0
147,"POLYGON ((-71.1017679 42.2860478,-71.0950896 42.2860478,-71.0950896 42.2814643,-71.1017679 42.2814643,-71.1017679 42.2860478))",3.0,12.0,71.0
148,"POLYGON ((-71.0950896 42.2860478,-71.0884113 42.2860478,-71.0884113 42.2814643,-71.0950896 42.2814643,-71.0950896 42.2860478))",4.0,12.0,52.0
149,"POLYGON ((-71.0884113 42.2860478,-71.0839591 42.2860478,-71.0839591 42.2814643,-71.0884113 42.2814643,-71.0884113 42.2860478))",6.0,12.0,55.0
150,"POLYGON ((-71.0839591 42.2860478,-71.0795069 42.2860478,-71.0795069 42.2814643,-71.0839591 42.2814643,-71.0839591 42.2860478))",7.0,12.0,76.0
151,"POLYGON ((-71.0795069 42.2860478,-71.0750547 42.2860478,-71.0750547 42.2814643,-71.0795069 42.2814643,-71.0795069 42.2860478))",8.0,12.0,69.0
152,"POLYGON ((-71.0750547 42.2860478,-71.0706025 42.2860478,-71.0706025 42.2814643,-71.0750547 42.2814643,-71.0750547 42.2860478))",9.0,12.0,49.0
153,"POLYGON ((-71.0706025 42.2860478,-71.0683764 42.2860478,-71.0683764 42.2814643,-71.0706025 42.2814643,-71.0706025 42.2860478))",10.0,12.0,47.0
154,"POLYGON ((-71.0683764 42.2860478,-71.0661503 42.2860478,-71.0661503 42.2814643,-71.0683764 42.2814643,-71.0683764 42.2860478))",10.0,12.0,53.0
155,"POLYGON ((-71.0661503 42.2860478,-71.0616981 42.2860478,-71.0616981 42.2814643,-71.0661503 42.2814643,-71.0661503 42.2860478))",11.0,12.0,61.0
156,"POLYGON ((-71.0616981 42.2860478,-71.059472 42.2860478,-71.059472 42.2814643,-71.0616981 42.2814643,-71.0616981 42.2860478))",12.0,12.0,44.0
157,"POLYGON ((-71.059472 42.2860478,-71.0572459 42.2860478,-71.0572459 42.2814643,-71.059472 42.2814643,-71.059472 42.2860478))",12.0,12.0,54.0
158,"POLYGON ((-71.0572459 42.2860478,-71.0550198 42.2860478,-71.0550198 42.2814643,-71.0572459 42.2814643,-71.0572459 42.2860478))",13.0,12.0,34.0
159,"POLYGON ((-71.0550198 42.2860478,-71.0527937 42.2860478,-71.0527937 42.2814643,-71.0550198 42.2814643,-71.0550198 42.2860478))",13.0,12.0,65.0
160,"POLYGON ((-71.0527937 42.2860478,-71.0505676 42.2860478,-71.0505676 42.2814643,-71.0527937 42.2814643,-71.0527937 42.2860478))",14.0,12.0,50.0
161,"POLYGON ((-71.0505676 42.2860478,-71.0394371 42.2860478,-71.0394371 42.2814643,-71.0505676 42.2814643,-71.0505676 42.2860478))",14.0,12.0,74.0
162,"POLYGON ((-71.1106723 42.2814643,-71.0995418 42.2814643,-71.0995418 42.2768808,-71.1106723 42.2768808,-71.1106723 42.2814643))",1.0,13.0,46.0
163,"POLYGON ((-71.0995418 42.2814643,-71.0984287 42.2814643,-71.0984287 42.2768808,-71.0995418 42.2768808,-71.0995418 42.2814643))",3.0,13.0,49.0
164,"POLYGON ((-71.0984287 42.2814643,-71.0973157 42.2814643,-71.0973157 42.2768808,-71.0984287 42.2768808,-71.0984287 42.2814643))",3.0,13.0,31.0
165,"POLYGON ((-71.0973157 42.2814643,-71.0928635 42.2814643,-71.0928635 42.2768808,-71.0973157 42.2768808,-71.0973157 42.2814643))",4.0,13.0,58.0
166,"POLYGON ((-71.0928635 42.2814643,-71.0839591 42.2814643,-71.0839591 42.2768808,-71.0928635 42.2768808,-71.0928635 42.2814643))",5.0,13.0,58.0
167,"POLYGON ((-71.0839591 42.2814643,-71.081733 42.2814643,-71.081733 42.2768808,-71.0839591 42.2768808,-71.0839591 42.2814643))",7.0,13.0,56.0
168,"POLYGON ((-71.081733 42.2814643,-71.0772808 42.2814643,-71.0772808 42.2768808,-71.081733 42.2768808,-71.081733 42.2814643))",7.0,13.0,61.0
169,"POLYGON ((-71.0772808 42.2814643,-71.0761677 42.2814643,-71.0761677 42.2768808,-71.0772808 42.2768808,-71.0772808 42.2814643))",8.0,13.0,41.0
170,"POLYGON ((-71.0761677 42.2814643,-71.0750547 42.2814643,-71.0750547 42.2768808,-71.0761677 42.2768808,-71.0761677 42.2814643))",8.0,13.0,41.0
171,"POLYGON ((-71.0750547 42.2814643,-71.0728286 42.2814643,-71.0728286 42.2768808,-71.0750547 42.2768808,-71.0750547 42.2814643))",9.0,13.0,46.0
172,"POLYGON ((-71.0728286 42.2814643,-71.0706025 42.2814643,-71.0706025 42.2768808,-71.0728286 42.2768808,-71.0728286 42.2814643))",9.0,13.0,52.0
